,address,business_dba,business_type,city,latitude,longitude,zip_code
45,5501 E BANNISTER ROAD ,BANNISTER FOOD MART,PACKAGE,Kansas City,38.95309,-94.526125,64137
46,4109 PENNSYLVANIA AVENUE,HARPOS,RESTAURANT-BAR,Kansas City,39.052469,-94.59109000000001,64111
47,1102 GRAND BLVD ,ROSWOLD FOUNDATION FOR INJURED CHILDREN,NON PROFIT ORGINIZATION,Kansas City,39.100932,-94.580881,64106
48,1331 E 63RD STREET ,SPEEDY CASH 2,SHORT TERM LOAN,Kansas City,39.013124,-94.571694,64110
49,6330 BROOKSIDE PLAZA ,"BROOKSIDER BAR & GRILL,THE",RESTAURANT-BAR,Kansas City,39.012904,-94.590765,64113
50,525 WALNUT ,CELLAR AND LOFT II,TAVERN,Kansas City,39.108290999999994,-94.581512,64106
51,344 W 72ND STREET 6411,QUIK TRIP #190,PACKAGE,Kansas City,38.997758000000005,-94.59305,64114
52,408 E 63RD STREET ,OAK 63,RESTAURANT-BAR,Kansas City,39.013668,-94.583578,64110
53,5405 TRUMAN ROAD ,GO MART,PACKAGE,Kansas City,39.094073,-94.518952,64127
54,8674 NE FLINTLOCK ROAD ,SEVA CUISINE OF INDIA,RESTAURANT-BAR,Kansas City,39.247289,-94.465476,64157
55,10600 RAYTOWN ROAD ,FAULKNER'S RANCH,TAVERN,Kansas City,38.929502,-94.473036,10600
56,4630 TROOST ,WALGREENS #4211,PACKAGE,Kansas City,39.042593,-94.572946,64110
57,8736 BLUE RIDGE BLVD,PEARL'S LOUNGE,TAVERN,Kansas City,38.965382,-94.499778,64138
58,9400 NE BARRY ROAD ,LONGHORN STEAKHOUSE OF LIBERTY,RESTAURANT-BAR,Kansas City,39.244908,-94.46295,64157
59,3500 INDEPENDENCE AVENUE ,FAST STOP #1,PACKAGE,Kansas City,39.105948,-94.5403,64124
60,703 SOUTHWEST BLVD,LA BODEGA....,RESTAURANT-BAR,Kansas City,39.085184999999996,-94.592996,64108
61,3700 BROADWAY STREET,UPTOWN THE,RESTAURANT-BAR,Kansas City,39.061102000000005,-94.590546,64111
62,7433-7437 BROADWAY STREET,WALDO PIZZA,RESTAURANT-BAR,Kansas City,38.993133,-94.593767,64114
63,418-422 NW ENGLEWOOD ROAD ,BAR TWELVE,TAVERN,Kansas City,39.196217,-94.58592,64118
64,4600 STARLIGHT ROAD ,ARAMARK SPORTS AND ENTERTAINMENT SERVICES - STARLIGHT,THEATER,Kansas City,39.008258000000005,-94.534888,64132
65,3601 BROADWAY ROAD ,"BROADWAY JAZZ CLUB,, ,THE",RESTAURANT-BAR,Kansas City,39.061839,-94.590446,64111
66,8539 TROOST ,BARTEL SALES,TIRE DEALER,Kansas City,38.972879,-94.576549,64131
67,4110 PENNSYLVANIA AVENUE,BUZZARD BEACH,TAVERN,Kansas City,39.052362,-94.591086,64111
68,1215 WESTPORT ROAD ,BERBIGLIA WINE & SPIRITS #72,PACKAGE,Kansas City,39.049903,-94.600623,64111
69,1310 GRAND BLVD ,JOHNNY'S TAVERN,RESTAURANT-BAR,Kansas City,39.098093,-94.581056,64106
70,6244 BROOKSIDE BLVD ,CVS/PHARMACY #5663,PACKAGE,Kansas City,39.014674,-94.59124200000001,64113
71,2450 GRAND BLVD ,OFF CENTER STAGE/ AMERICAN HEARTLAND THEATRE,TAVERN,Kansas City,39.082565,-94.581836,64108
72,413 E 33RD STREET,SIDESTREET BAR & GRILL,TAVERN,Kansas City,39.066289000000005,-94.579813,64109
73,540 NICHOLS ROAD ,NOODLES AND COMPANY,RESTAURANT-BAR,Kansas City,39.041379,-94.594053,64112
74,9103 RENNER BLVD ,PRS-SEDAN TRANSPORTATION,TLS VEHICLE,Kansas City,38.963337,-94.77963000000001,66219
75,9763 N CEDAR AVENUE ,WASABI,RESTAURANT-BAR,Kansas City,39.270108,-94.453757,64157
76,1111 GRAND BLVD ,AMBASSADOR HOTEL RESERVE,RESTAURANT-BAR,Kansas City,39.100688,-94.580825,64106
77,11100 HOLMES ,GAS-MART USA #108,PACKAGE,Kansas City,38.925304,-94.583426,11100
78,5410 NE OAK RIDGE ROAD,STROUD'S OAKRIDGE MANOR,RESTAURANT-BAR,Kansas City,39.19412,-94.51264599999999,64119
79,8147 WORNALL ,A & A TIRE & AUTO,TIRE DEALER,Kansas City,38.979749,-94.594785,64114
80,9000 SKYVIEW AVENUE ,DICKEY'S BARBECUE  PIT,RESTAURANT-BAR,Kansas City,39.260655,-94.658586,64154
81,4341 PASEO BLVD,MIDWAY CONOCO,PACKAGE,Kansas City,39.047358,-94.567936,64110
82,419 E 18TH STREET ,ONE 3 STUDIOS,TAVERN,Kansas City,39.091592999999996,-94.57802099999999,64108
83,4742 PENNSYLVANIA AVENUE,O'DOWD'S,RESTAURANT-BAR,Kansas City,39.040890000000005,-94.593637,64112
84,6234 PASEO BLVD ,CASH AMERICA PAWN OF KC 3,SHORT TERM LOAN,Kansas City,39.013809,-94.570438,64110
85,2829 SOUTHWEST BLVD,MARGARITA'S,RESTAURANT-BAR,Kansas City,39.07648,-94.60210699999999,64108
86,1701 AMERICAN ROYAL COURT ,AMERICAN ROYAL ASSOCIATION,NON PROFIT ORGINIZATION,Kansas City,39.090756,-94.60513399999999,64102
87,5600 INDEPENDENCE AVENUE ,CASH AMERICA PAWN OF KANSAS CITY #4,TIRE DEALER,Kansas City,39.105148,-94.51661,64123
88,2345 MCGEE ,SHERATON KANSAS CITY HOTEL AT CROWN CENTER,RESTAURANT-BAR,Kansas City,39.085018,-94.580455,64108
89,7438 WORNALL ROAD ,QUINTON'S WALDO BAR & DELI,TAVERN,Kansas City,38.993032,-94.594319,64114
90,1704 GRAND BLVD ,WINDSTARS #1704,PACKAGE,Kansas City,39.093212,-94.581295,64108
91,6411 72ND STREET ,IRON WOK,RESTAURANT-BAR,Kansas City,39.225103999999995,-94.652721,64151
92,4980 MAIN STREET ,ACCURSO'S RESTAURANT AND CATERING,RESTAURANT-BAR,Kansas City,39.03703,-94.587254,64112
93,6200 ST. JOHN AVENUE ,DONALD LEE DAVIS MARKETING,TIRE DEALER,Kansas City,39.112152,-94.50926,64123
94,6800 ZOO DRIVE,"BEASTRO CAFE, THE",RESTAURANT-BAR,Kansas City,39.007713,-94.531472,64132
95,6322 BROOKSIDE PLAZA ,DOMO SUSHI,RESTAURANT-BAR,Kansas City,39.01317,-94.59075,64113
96,1300 LYDIA 6410,AMERICAN CAB,TLS VEHICLE,Kansas City,39.097592,-94.56574499999999,64106
97,104 BELMONT BLVD ,BROCATO'S AUTO REPAIR SERVICE,TIRE DEALER,Kansas City,39.111882,-94.509426,64123
98,1323 WALNUT STREET ,TENGO SED CANTINA,RESTAURANT-BAR,Kansas City,39.098258,-94.582134,64106
99,700 SOUTHWEST BLVD ,CASA DE EVENTOS,RESTAURANT-BAR,Kansas City,39.085184999999996,-94.593115,64108
100,13661 MAPLE STREET ,ERICH E. BRANDT,TLS VEHICLE,Kansas City,38.84985,-94.65089,13661
101,4301 BLUE RIDGE ,COX STANDARD,TIRE DEALER,Kansas City,39.043469,-94.43823499999999,64133
102,8128-8134 PRAIRIE VIEW ROAD,DIRKS BAR AND GRILL,RESTAURANT-BAR,Kansas City,39.241778000000004,-94.658843,64151
103,4831 N OAK ,DISCOUNT TIRE,TIRE DEALER,Kansas City,39.181561,-94.576614,64118
104,6307 BROOKSIDE PLAZA,CARMENS CAFE,RESTAURANT-BAR,Kansas City,39.013718,-94.590639,64113
105,8614 BOARDWALK AVENUE ,"BREWTOP PUB & PATIO, THE",RESTAURANT-BAR,Kansas City,39.252551000000004,-94.653103,64154
106,840 MONTGALL AVENUE ,EVERYDAY CONOCO,PACKAGE,Kansas City,39.124082,-94.549026,64120
107,3744 BROADWAY STREET ,DLS TIRE CENTERS,TIRE DEALER,Kansas City,39.059523,-94.59060600000001,64111
108,6530 NW BARRY ROAD ,APPLEBEE'S NEIGHBORHOOD GRILL & BAR -2,RESTAURANT-BAR,Kansas City,39.246998,-94.656121,64154
109,8383 BOOTH AVENUE ,SPROUTS FARMERS MARKETS,PACKAGE,Kansas City,39.227356,-94.477805,64158
110,2827 S BRENTWOOD BLVD ,A BOMMARITO WINES,WHOLESALER,Kansas City,38.610607,-90.349705,63144
111,6641 TRUMAN ROAD 6412,QUIK TRIP #204,PACKAGE,Kansas City,39.093654,-94.503522,64126
112,3701 ST JOHN AVENUE ,SUPERIOR MINI  MART,PACKAGE,Kansas City,39.113043,-94.537042,64123
113,5358 INDEPENDENCE AVENUE ,CHECKSMART 4,SHORT TERM LOAN,Kansas City,39.105267,-94.5195,64124
114,3756 BROADWAY ,CHUBBY'S ON BROADWAY,AMUSEMENT DEVICE EXHIBITOR,Kansas City,39.059072,-94.590636,64111
115,8340 E BANNISTER ROAD ,RELIABLE FINANCIAL SERVICES 2,SHORT TERM LOAN,Kansas City,38.951731,-94.4926,64134
116,5420 E 10TH STREET ,LATE MODEL AUTO PARTS,TIRE DEALER,Kansas City,39.100097999999996,-94.51877900000001,64127
117,6120 ST. JOHN AVENUE ,TERI'S BIGGER JIGGER,TAVERN,Kansas City,39.112168,-94.50958,64123
118,406 18TH STREET ,BORDER BREWING COMPANY,TAVERN,Kansas City,39.091084,-94.589019,64108
119,8501 WINNER ROAD 6412,QUIK TRIP #207,PACKAGE,Kansas City,39.106953000000004,-94.483126,64125
120,7300 US 40 HIGHWAY ,ACE AUTO L.L.C,SECONDARY METAL RECYCLER,Kansas City,39.065009,-94.49373800000001,64129
121,5000 MAIN STREET,"PEANUT,, THE",RESTAURANT-BAR,Kansas City,39.036590000000004,-94.587276,64112
122,3402 E 9TH STREET ,POP'S QUIK SHOP,PACKAGE,Kansas City,39.102178,-94.54160999999999,64124
123,6331 KNOX INDUSTRIAL DRIVE ,"MISSOURI BEVERAGE CO., INC",WHOLESALER,Kansas City,38.619205,-90.294926,63139
124,9750 NW PRAIRIE VIEW ROAD ,WAFFLE HOUSE #1608,AMUSEMENT DEVICE EXHIBITOR,Kansas City,39.228992,-94.655496,64151
125,1741 WASHINGTON ,PR'S  PLACE,TAVERN,Kansas City,39.091499,-94.589925,64108
126,709 17TH STREET ,BROOKS AUTO SERVICE,TIRE DEALER,Kansas City,39.092983000000004,-94.592552,64108
127,1 ARROWHEAD DRIVE ,"ARAMARK, SPORTS AND ENTERTAINMENT SERVICES LLC - ARROWHEAD",RESTAURANT-BAR,Kansas City,39.048755,-94.486274,64129
128,600 E LINWOOD BLVD ,BUCKEYE TITLE LOANS 3,SHORT TERM LOAN,Kansas City,39.068938,-94.577569,64109
129,512-520 W 75TH STREET,75TH STREET BREWERY,RESTAURANT-BAR,Kansas City,38.992546000000004,-94.595834,64114
130,8934 WORNALL ,POKE A DOT LOUNGE.,TAVERN,Kansas City,38.965901,-94.595514,64114
131,2337 PROSPECT ,D & M TIRE SERVICE,TIRE DEALER,Kansas City,39.083937,-94.55211899999999,64127
132,7620 WORNALL ,GOODYEAR AUTO SERVICE CENTER,TIRE DEALER,Kansas City,38.990182,-94.594406,64114
133,114 W 3RD STREET ,MARKET 3 DELI GROCERY STUFF YOU NEED,RESTAURANT-BAR,Kansas City,39.109448,-94.585546,64105
134,4130 N KANSAS AVENUE ,PUBLIC TRANSPORT,TLS VEHICLE,Kansas City,39.169031,-94.545636,64117
135,5301 STATE LINE ROAD,CARRIAGE CLUB,RESTAURANT-BAR,Kansas City,39.03369,-94.607465,64112
136,5709 TROOST AVENUE,BOBS N MOTION,TAVERN,Kansas City,39.023139,-94.574005,64110
137,9196 SKYVIEW AVENUE ,CHUCK E. CHEESE'S,RESTAURANT-BAR,Kansas City,39.261146000000004,-94.658459,64154
138,3201 INDEPENDENCE AVENUE ,7-ELEVEN STORE #26369C,PACKAGE,Kansas City,39.106034,-94.543602,64124
139,606 99TH STREET 6413,ADVANCE AMERICA #3881,SHORT TERM LOAN,Kansas City,38.948371,-94.58372,64131
140,8012 E TRUMAN ROAD ,PICK N PULL  AUTO DISMANTLERS II,WASTE TIRE SITE,Kansas City,39.093496,-94.489494,64126
141,500 GRAND BLVD ,NGUYEN PHO & GRILL,RESTAURANT-BAR,Kansas City,39.10864,-94.580443,64106
142,1111 136TH STREET,WORLD MARKET,PACKAGE,Kansas City,38.881409999999995,-94.606352,64145
143,4128 BROADWAY ,WESTPORT ALE HOUSE,RESTAURANT-BAR,Kansas City,39.052167,-94.589686,64111
144,928 WYANDOTTE ,JOHN'S BIG DECK..,TAVERN,Kansas City,39.102732,-94.585486,64105
145,1520 GRAND BLVD ,"TERRACE ON GRAND,THE",TAVERN,Kansas City,39.095012,-94.58120600000001,64108
146,4141 N MULBERRY ,PIROPOS,RESTAURANT-BAR,Kansas City,39.170321,-94.599006,64116
147,4050 PENNSYLVANIA ,CHAR BAR,RESTAURANT-BAR,Kansas City,39.053281,-94.59181600000001,64111
148,8130 N CHURCH ROAD ,SAM'S CLUB #6247,PACKAGE,Kansas City,39.239672,-94.460433,64158
149,401 CHARLOTTE ,WHITE KNIGHT LIMOUSINE,TLS VEHICLE,Kansas City,39.110771,-94.574838,64106
150,1700 39TH STREET,FRIC AND FRAC  RESTAURANT,RESTAURANT-BAR,Kansas City,39.057308,-94.60526999999999,64111
151,10612 BLUE RIDGE BLVD ,PRINCE AUTO LLC,TIRE DEALER,Kansas City,38.931129999999996,-94.507816,10612
152,3810 BROADWAY ,MINIBAR,TAVERN,Kansas City,39.057752,-94.590712,64111
153,1100 E 63RD STREET ,WALGREENS #4210,PACKAGE,Kansas City,39.013278,-94.57437900000001,64110
154,4532 TRUMAN ROAD ,FALCO'S TRUCK & PARTS,SECONDARY METAL RECYCLER,Kansas City,39.094108,-94.52944699999999,64127
155,2016 MAIN STREET ,2016 MAIN,TAVERN,Kansas City,39.088576,-94.583783,64108
156,106 12TH STREET,HOTEL PHILLIPS,TAVERN,Kansas City,39.099911999999996,-94.581914,64106
157,105 W 9TH STREET ,SASHA'S BAKING CO,RESTAURANT-BAR,Kansas City,39.103593,-94.58448,64105
158,4551 PROSPECT AVENUE ,GQ RESTAURANT & LOUNGE,TAVERN,Kansas City,39.042909,-94.554195,64130
159,30 PERSHING ROAD ,HARVEY'S OPERATED BY BRANCATOS CATERING II,RESTAURANT-BAR,Kansas City,39.084138,-94.584265,64108
160,8600 NW PRAIRIE VIEW ROAD ,BAR LOUIE #1202 (ZONA ROSA),RESTAURANT-BAR,Kansas City,39.250515,-94.661557,64153
161,8584 N CHURCH ROAD,PIZZA SHOPPE #2,RESTAURANT-BAR,Kansas City,39.246088,-94.457193,64157
162,1616 E 18TH STREET,"BLUE ROOM, THE",TAVERN,Kansas City,39.091228,-94.56314,64108
163,6633 TRUMAN ROAD ,ENGLE MOTORS,TIRE DEALER,Kansas City,39.093684,-94.504281,64126
164,6250 NW BARRY ROAD ,BARRY ROAD PHILLIPS 66,PACKAGE,Kansas City,39.247048,-94.6519,64154
165,4252 NE DAVIDSON AVENUE ,CARIBE TRANSPORTATION,TLS VEHICLE,Kansas City,39.172326,-94.560546,64116
166,13145 STATELINE ROAD ,JON RUSSELL'S BBQ,RESTAURANT-BAR,Kansas City,38.889047,-94.607936,13145
167,535 WESTPORT ROAD,COST PLUS WORLD MARKET,PACKAGE,Kansas City,39.052124,-94.592929,64111
168,101 E 14TH STREET ,BAR LOUIE #1102,RESTAURANT-BAR,Kansas City,39.097181,-94.582101,64106
169,2400 E 85TH STREET ,"SPOT TIRE SHOP,THE",TIRE DEALER,Kansas City,38.972788,-94.560287,64132
170,303 BROADWAY STREET ,ATLAS CAB COMPANY,TLS VEHICLE,Kansas City,39.108746999999994,-94.588394,64105
171,316 WESTPORT ROAD,DAVE'S STAGECOACH INN,TAVERN,Kansas City,39.053798,-94.58953299999999,64111
172,1827B VINE STREET ,KNOCKOUT CHICKEN & FISH,RESTAURANT-BAR,Kansas City,39.090778,-94.563322,64108
173,4514 INDEPENDENCE AVENUE ,MR. AUTO,TIRE DEALER,Kansas City,39.105588,-94.5286,64124
174,8350 NW ROANRIDGE ROAD ,CHILI'S GRILL &  BAR,RESTAURANT-BAR,Kansas City,39.245838,-94.655828,64151
175,8719 NW 86th STREET ,BEN'S TRANSPORTATION SERVICE,TLS VEHICLE,Kansas City,39.249944,-94.680003,64153
176,500 NW BARRY ROAD,OLIVE GARDEN #1170,RESTAURANT-BAR,Kansas City,39.246528000000005,-94.58736,64155
177,1709 WINDSOR LANE ,DAY AND NIGHT TRANSPORTATION,TLS VEHICLE,Kansas City,39.228026,-94.44961500000001,64068
178,6016 E TRUMAN ROAD ,LOS COMPADRES AUTO SALES,TIRE DEALER,Kansas City,39.093908,-94.5111,64126
179,4855 MAIN STREET ,"MIXX, THE",RESTAURANT-BAR,Kansas City,39.038896,-94.587073,64112
180,1706 BALTIMORE ,"SUNDRY B,THE",PACKAGE,Kansas City,39.092622,-94.58470600000001,64108
181,11511 STATE LINE ROAD ,"BARSTOW SCHOOL, THE",NON PROFIT ORGINIZATION,Kansas City,38.920016,-94.607946,11511
182,3015 VIVION ROAD ,NORTHLAND NEIGHBORHOODS,NON PROFIT ORGINIZATION,Kansas City,39.188095000000004,-94.54383299999999,64119
183,1301 JACKSON AVENUE ,NOVA GREEN RECYCLING,SECONDARY METAL RECYCLER,Kansas City,39.096768,-94.533015,64127
184,4949 CHERRY STREET ,KANSAS CITY REPERTORY  THEATRE,TAVERN,Kansas City,39.036561,-94.58065500000001,64110
185,6209 NW 63RD TERRACE ,DOMINIC'S FAST ITALIAN,RESTAURANT-BAR,Kansas City,39.209841,-94.652911,64151
186,207 ENGLEWOOD ROAD ,HY-VEE #2 GAS STATION & GROCERY.,PACKAGE,Kansas City,39.195784,-94.57900699999999,64118
187,9901 BARRY ROAD ,GAS-MART USA #104,PACKAGE,Kansas City,39.244583,-94.461251,64157
188,5833 TRUMAN ROAD ,GARCIA'S TIRE SHOP,TIRE DEALER,Kansas City,39.09418,-94.537762,64127
189,9220 NE BARRY ROAD ,TARGET STORE T-1455,PACKAGE,Kansas City,39.244741999999995,-94.468671,64158
190,321 E GREGORY BLVD,GOVERNOR STUMPY'S BAR AND GRILL,RESTAURANT-BAR,Kansas City,38.999201,-94.585362,64114
191,6101 63RD TERRACE ,EM CHAMAS BRAZILIAN GRILL,RESTAURANT-BAR,Kansas City,39.209354,-94.65135,64151
192,608 WARD PARKWAY ,"GRANFALLOON, THE",RESTAURANT-BAR,Kansas City,39.040029,-94.594656,64112
193,5401 64TH STREET ,GK ENERGY,PACKAGE,Kansas City,39.210493,-94.643401,64151
194,2519 E 9TH STREET,SPEEDY'S FOOD & LIQUOR MART,PACKAGE,Kansas City,39.102463,-94.551592,64124
195,11050 HOLMES ROAD ,TRIDEL FOOD MART #1,PACKAGE,Kansas City,38.926293,-94.583336,11050
196,3527 GARDNER AVENUE ,CROSS-MIDWEST TIRE,TIRE DEALER,Kansas City,39.127503000000004,-94.538282,64120
197,1701 W 133RD STREET,WAL-MART SUPERCENTER #2955,PACKAGE,Kansas City,38.886503000000005,-94.60646,64145
198,6300 PROSPECT AVENUE ,CVS/PHARMACY #8578,PACKAGE,Kansas City,39.012052000000004,-94.556236,64132
199,1727 MCGEE STREET,"BRICK, THE",RESTAURANT-BAR,Kansas City,39.092349,-94.580075,64108
200,4200 BARRY ROAD ,CHRISTIAN BROTHERS  AUTOMOTIVE,TIRE DEALER,Kansas City,39.246658000000004,-94.629541,64154
201,1515 WESTPORT ROAD,MIKE KELLY'S WESTSIDER,TAVERN,Kansas City,39.050103,-94.604303,64111
202,502 NICHOLS DRIVE ,BRIO TUSCAN  GRILLE,RESTAURANT-BAR,Kansas City,39.041408000000004,-94.594549,64112
203,7007 LONGVIEW ROAD,EXPRESS MART OF LONGVIEW,PACKAGE,Kansas City,38.915203000000005,-94.510092,64134
204,7700 E WINNER ROAD ,PICK-N-PULL.,TIRE DEALER,Kansas City,39.105349,-94.492209,64125
205,7500 WORNALL ROAD ,WALGREENS #4235,PACKAGE,Kansas City,38.992042,-94.59435500000001,64114
206,500 75TH STREET ,SUMMIT GRILL AND BAR,TAVERN,Kansas City,38.992532000000004,-94.59541999999999,64114
207,3027 WALNUT ,"MASQUERADE LLC, THE",AMUSEMENT,Kansas City,39.071549,-94.584076,64108
208,4803 INDEPENDENCE AVENUE ,MARIA BONITA,TIRE DEALER,Kansas City,39.105101,-94.516053,64123
209,1100 PENNSYLVANIA ,AMERICAN CANCER SOCIETY,NON PROFIT ORGINIZATION,Kansas City,39.100722999999995,-94.591166,64105
210,8678 FLINTLOCK ROAD ,MOONLIGHT SUSHI & GRILL,RESTAURANT-BAR,Kansas City,39.247319,-94.465476,64157
211,1744 BROADWAY BLVD ,CODA,RESTAURANT-BAR,Kansas City,39.091221999999995,-94.588876,64108
212,330 E 135TH STREET,RC'S RESTAURANT AND LOUNGE,RESTAURANT-BAR,Kansas City,38.882678000000006,-94.591539,64145
213,16-18 W 43RD STREET ,"LEVEE, THE",TAVERN,Kansas City,39.049395000000004,-94.586783,64111
214,20 E 5TH STREET,BLUE NILE CAFE,RESTAURANT-BAR,Kansas City,39.108587,-94.58163499999999,64106
215,1600 GENESSEE,"GOLDEN OX, THE",RESTAURANT-BAR,Kansas City,39.093612,-94.605025,64102
216,3800 BROADWAY ,PAYDAY LOAN COMPANY #1,SHORT TERM LOAN,Kansas City,39.057804,-94.590715,64111
217,3231 STADIUM DRIVE ,PORTER AUTO SALVAGE II,SALVAGE YARD,Kansas City,39.065396,-94.51763100000001,64128
218,8634 BOARDWALK AVENUE ,MOONLIGHT JAPANESE STEAKHOUSE & SUSHI,RESTAURANT-BAR,Kansas City,39.252551000000004,-94.652001,64154
219,4141 PENNSYLVANIA AVENUE ,JULEP,RESTAURANT-BAR,Kansas City,39.0517,-94.590506,64111
220,10015 N AMBASSADOR DRIVE ,NICK & NINO'S  TRANSPORTATION,TLS VEHICLE,Kansas City,39.275988,-94.668643,10015
221,8666 63RD STREET 6413,ADVANCE AMERICA #5762...,SHORT TERM LOAN,Kansas City,39.009683,-94.483568,64133
222,510 WESTPORT ,OFF-KEY KARAOKE / LOCAL PIG,TAVERN,Kansas City,39.052719,-94.591786,64111
