,AccountNumber,AccountStatus,AccountStatusDescription,Address,BusinessDescription,BusinessName,City,CouncilDistrict,Date,EffectiveDate,EmployeeRange,HomeBasedBusiness,latitude,longitude,NumberOfEmployees,SIC,StartDate,State,Status,ZIPcode
15,75224,AC,Active Status,1100  S STERLING AVE,Auto Repair/Body Work,ALL PRO AUTOMOTIVE,INDEPENDENCE,1,2012-10-29,10/31/2016,0-10,NO,39.096061706543,-94.4458999633789,0,7538G,10/20/2008,MO,RENEWAL,64054
16,48348,AC,Active Status,627  S COTTAGE AVE,Water/Waste Water Eqpmt/Repair,"ALLIANCE PUMP & MECHANICAL SERV,INC",INDEPENDENCE,1,2012-12-12,11/30/2016,0-10,NO,39.0804557800293,-94.4295043945313,0,1711E,11/15/2000,MO,RENEWAL,64050
17,29683,AC,Active Status,9520  E TRUMAN RD,Auto/Boat Engine Rebuild/Repair,AMERICAN BLOCK SERVICE,INDEPENDENCE,1,2013-02-01,12/31/2016,0-10,NO,39.0959320068359,-94.4648590087891,0,7538Z,12/13/1994,MO,RENEWAL,64052
18,78639,AC,Active Status,1603  S MENOWN AVE,Communication Relay Tower/Signal Service,AMERICAN TOWER,INDEPENDENCE,1,2012-11-07,10/31/2016,0-10,NO,39.0912628173828,-94.4742965698242,0,8999A,10/1/2009,MO,RENEWAL,64052
19,86180,AC,Active Status,1709  N RIVER BLVD,Catering Service/Rentals,"ANDRAE CATERING, LLC",INDEPENDENCE,1,2013-03-04,2/28/2017,0-10,YES,39.1106338500977,-94.425895690918,0,5812BA,1/1/2012,MO,RENEWAL,64050
20,6757,AC,Active Status,1412   DICKINSON RD,Sound/Lighting-Sales/Service,ASSOCIATED PRODUCTION & DESIGN,INDEPENDENCE,1,2012-05-22,4/30/2017,0-10,YES,39.106071472168,-94.4042663574219,0,1731O,1/27/1988,MO,RENEWAL,64050
21,57629,AC,Active Status,1223  W TRUMAN RD,Auto Repair & Clean Up,"AUTO CARE EXPERTS, INC",INDEPENDENCE,1,2012-10-11,8/31/2016,0-10,NO,39.0941886901855,-94.4317321777344,0,7538F,8/15/2003,MO,RENEWAL,64050
22,54689,AC,Active Status,10500  E US 24 HWY   THRU 103,Auto/Truck Sales/Used,AUTO NOW,INDEPENDENCE,1,2012-10-01,10/31/2016,0-10,NO,39.1030769348145,-94.4541320800781,6,5521,10/1/2002,MO,RENEWAL,64053
23,46542,AC,Active Status,605  N HIGH ST,Indrstl/Commercial Equip Design/Mfg/Sale,"AUTOMATION DYNAMICS, LLC",INDEPENDENCE,1,2012-11-26,11/30/2016,0-10,NO,39.096736907959,-94.4118041992188,0,3599B,11/1/1999,MO,RENEWAL,64050
26,37264,AC,Active Status,11206  E TRUMAN RD,Auto Parts-Retail Sales,AUTOZONE #2383,INDEPENDENCE,1,2013-01-29,1/31/2017,0-10,NO,39.0953521728516,-94.4441375732422,0,5531,1/12/1998,MO,RENEWAL,64050
27,82949,AC,Active Status,537  E US 24 HWY,Auto Repair-Light,"AUTOTEK, LLC",INDEPENDENCE,1,2012-03-22,3/31/2017,0-10,NO,39.1002922058105,-94.4086303710938,0,7538,3/4/2011,MO,RENEWAL,64050
28,82949,AC,Active Status,537  E US 24 HWY,Auto Repair-Light,"AUTOTEK, LLC",INDEPENDENCE,1,2013-03-11,3/31/2017,0-10,NO,39.1002922058105,-94.4086303710938,0,7538,3/4/2011,MO,RENEWAL,64050
29,86871,AC,Active Status,217  S HOME AVE,Roofing/Siding/Windows Contractor,AUTUMN OAKS ROOFING,INDEPENDENCE,1,2012-05-07,5/31/2017,0-10,YES,39.1071968078613,-94.4586334228516,0,1761A,5/7/2012,MO,NEW,64053
31,67404,AC,Active Status,2020  N LIBERTY ST,Residential Remodel &/Or Repair,ALLEN'S HOME REPAIR,INDEPENDENCE,1,2012-08-13,8/31/2016,0-10,YES,39.1142883300781,-94.416374206543,0,1521E,8/14/2006,MO,RENEWAL,64050
32,75312,AC,Active Status,9623  E INDEPENDENCE AVE,Communication Relay Tower/Signal Service,AT&T MOBILITY,INDEPENDENCE,1,2012-05-16,5/31/2017,0-10,NO,39.1024894714355,-94.4627075195313,0,8999A,5/1/2008,MO,RENEWAL,64053
33,75313,AC,Active Status,301  E LEXINGTON AVE,Communication Relay Tower/Signal Service,AT&T MOBILITY,INDEPENDENCE,1,2012-05-16,5/31/2017,0-10,NO,39.0916786193848,-94.4112777709961,0,8999A,5/1/2008,MO,RENEWAL,64050
34,75333,AC,Active Status,950  N SPRING ST,Communication Relay Tower/Signal Service,AT&T MOBILITY,INDEPENDENCE,1,2012-05-16,5/31/2017,0-10,NO,39.1000061035156,-94.4207305908203,0,8999A,5/1/2008,MO,RENEWAL,64050
35,2201,AC,Active Status,531  S PLEASANT ST   #100,Cleaning/Maintenance Service,B & H MGMNT SYST,INDEPENDENCE,1,2012-04-17,4/30/2017,0-10,NO,39.0870246887207,-94.4211196899414,0,7349,9/11/1985,MO,RENEWAL,64050
36,2201,AC,Active Status,531  S PLEASANT ST   #100,Cleaning/Maintenance Service,B & H MGMNT SYST,INDEPENDENCE,1,2012-04-17,4/30/2017,0-10,NO,39.0870246887207,-94.4211196899414,0,7349,9/11/1985,MO,RENEWAL,64050
37,2201,AC,Active Status,531  S PLEASANT ST   #100,Cleaning/Maintenance Service,B & H MGMNT SYST,INDEPENDENCE,1,2012-04-26,4/30/2017,0-10,NO,39.0870246887207,-94.4211196899414,0,7349,9/11/1985,MO,RENEWAL,64050
38,34498,AC,Active Status,11100  E WINNER RD,Hair/Nail Salon (Business Owner),B-VOGUE,INDEPENDENCE,1,2013-01-08,12/31/2016,0-10,NO,39.0880241394043,-94.4468765258789,0,7231,12/2/1996,MO,RENEWAL,64052
39,1759,AC,Active Status,500  W TRUMAN RD,Child Care Center,BAPTIST DAY CARE,INDEPENDENCE,1,2012-04-09,4/30/2017,0-10,NO,39.0944404602051,-94.4211196899414,0,8351,4/15/1975,MO,RENEWAL,64050
40,79451,AC,Active Status,411  W WALNUT ST,Jewelry Sales/Design/Repair,BARELLE CREATIONS,INDEPENDENCE,1,2013-02-13,2/3/2017,0-10,YES,39.0898094177246,-94.4205932617188,0,5944,2/3/2010,MO,RENEWAL,64050
41,79927,AC,Active Status,8715  E THOMPSON AVE,Broker/Freight,BARGAIN PARADISE FREIGHT BROKERAGE,INDEPENDENCE,1,2012-04-23,4/30/2017,0-10,YES,39.1054763793945,-94.479133605957,0,4731A,4/7/2010,MO,RENEWAL,64053
42,39794,AC,Active Status,220  W 23RD ST,Auto Repair/Used Auto Sales,BARR'S AUTO REPAIR,INDEPENDENCE,1,2012-11-05,11/30/2016,0-10,NO,39.0795936584473,-94.4181671142578,0,7538A,11/27/1998,MO,RENEWAL,64050
44,81898,AC,Active Status,1001  W US 24 HWY,Convenience Store W/Gas Sales,BEER & TOBACCO OUTLET,INDEPENDENCE,1,2012-12-04,11/30/2016,0-10,NO,39.1015281677246,-94.4277420043945,3,5411J,11/1/2010,MO,RENEWAL,64050
45,84007,AC,Active Status,417  S SPRING ST,Roofing And/Or Guttering,BELLIS GUTTERING,INDEPENDENCE,1,2012-12-18,12/31/2016,0-10,NO,39.0881958007813,-94.419677734375,0,1761,9/15/2004,MO,RENEWAL,64050
46,27757,AC,Active Status,2219  N LIBERTY ST,Carpet/Upholstery Cleaning,BEST CARPET CLEANING LLC,INDEPENDENCE,1,2012-05-18,4/30/2017,0-10,YES,39.1196517944336,-94.4148864746094,0,7217,4/14/1994,MO,RENEWAL,64050
47,34809,AC,Active Status,1511  N HOCKER AVE,Communication Cabling/Install/Srv/Sales,BEST COMMUNICATIONS,INDEPENDENCE,1,2013-01-25,1/31/2017,0-10,YES,39.1073684692383,-94.4081802368164,0,1731A,1/9/1997,MO,RENEWAL,64050
48,21440,AC,Active Status,120  E RUBY AVE,Insulation/Siding Mtrls-Whsl,"BETHALAN, INC",INDEPENDENCE,1,2013-02-01,1/31/2017,0-10,YES,39.0857772827148,-94.4148178100586,0,5033,9/1/1993,MO,RENEWAL,64050
49,43446,AC,Active Status,213  W MAPLE AVE,Bar/Lounge,BIG JOHN'S CORNER BAR,INDEPENDENCE,1,2013-02-25,2/28/2017,0-10,NO,39.0926818847656,-94.4177017211914,0,5813,2/28/2000,MO,RENEWAL,64050
50,62321,AC,Active Status,330  S LIBERTY ST,Industrial Maintenance Service,"BLUE CHIP RESOURCES, INC",INDEPENDENCE,1,2013-02-27,2/28/2017,0-10,NO,39.088924407959,-94.4176712036133,0,7349A,2/21/2005,MO,RENEWAL,64050
51,82354,AC,Active Status,906  S MAIN ST,Entertainment/Rec Serv/Promoter/Planner,BOBBY SIMKINS,INDEPENDENCE,1,2012-12-31,12/10/2016,0-10,YES,39.0828666687012,-94.4158248901367,0,7929C,6/14/2010,MO,RENEWAL,64050
52,83,AC,Active Status,506  S OXFORD AVE,Auto Body/Top Repair/Detail,BODY SHOP #52,INDEPENDENCE,1,2012-04-09,4/30/2017,0-10,NO,39.106559753418,-94.4676666259766,0,7532,3/27/1980,MO,RENEWAL,64053
53,51762,AC,Active Status,9512  E WILSON RD,Warehouse & Distribution,BODY SHOP #52,INDEPENDENCE,1,2012-04-09,4/30/2017,0-10,NO,39.1069641113281,-94.4642105102539,0,4225A,11/5/2001,MO,RENEWAL,64053
55,77241,AC,Active Status,1600  S ARLINGTON AVE,Crafts/Hobbies Retail Sales,BRENNAN'S MODEL RAILROADING,INDEPENDENCE,1,2012-06-04,6/30/2017,0-10,YES,39.090030670166,-94.4648666381836,0,5947,1/1/2008,MO,RENEWAL,64052
56,61770,AC,Active Status,827  W COLLEGE ST,Child Care Center,BRYANT CHILD & FAMILY LEARNING CTR,INDEPENDENCE,1,2012-04-16,4/30/2017,0-10,NO,39.0977401733398,-94.4266967773438,0,8351,4/30/2004,MO,RENEWAL,64050
57,84918,AC,Active Status,1030  W 23RD ST  B,Auto Repair-Light,BUDDY'S AUTOMOTIVE LLC,INDEPENDENCE,1,2013-01-08,10/31/2016,0-10,NO,39.0804557800293,-94.4295043945313,0,7538,10/1/2004,MO,RENEWAL,64050
58,53642,AC,Active Status,1326  W 23RD ST,Auto Repair-Light,"BUDGET MUFFLER, LLC",INDEPENDENCE,1,2012-05-22,5/31/2017,0-10,NO,39.0801773071289,-94.4336624145508,0,7538,6/1/2002,MO,RENEWAL,64050
59,77247,AC,Active Status,11500  E 23RD ST S,Restaurant,BURGER KING,INDEPENDENCE,1,2012-06-18,6/30/2017,0-10,NO,39.0803871154785,-94.4406356811523,0,5812,6/19/2009,MO,RENEWAL,64052
60,77493,AC,Active Status,305  E NICKELL TERR,Heating/Cooling/Plumbing/Electrical,BECK MECH,INDEPENDENCE,1,2012-06-05,6/30/2017,0-10,YES,39.1049842834473,-94.4102096557617,0,1711F,6/29/2009,MO,RENEWAL,64050
61,1756,AC,Active Status,324  W FARMER ST,Direct Sales,C & C ENTERPRISES,INDEPENDENCE,1,2012-05-01,4/30/2017,0-10,NO,39.0960083007813,-94.41943359375,0,5963,6/17/1985,MO,RENEWAL,64050
62,41054,AC,Active Status,509  S ARLINGTON AVE,Roofing And/Or Guttering,C & H CONTRACTING,INDEPENDENCE,1,2013-01-25,1/31/2017,0-10,YES,39.1062431335449,-94.4632110595703,0,1761,1/1/1999,MO,RENEWAL,64053
64,7173,AC,Active Status,132  W LINDEN AVE,Tree Service,CARL HEATH TREE SERVICE,INDEPENDENCE,1,2012-05-09,4/30/2017,0-10,YES,39.084300994873,-94.416877746582,0,0783,9/22/1988,MO,RENEWAL,64050
65,57213,AC,Active Status,1501  W LEXINGTON AVE,Funeral Home,CARSON-SPEAKS CHAPEL,INDEPENDENCE,1,2012-04-18,4/30/2017,0-10,NO,39.0867652893066,-94.4329833984375,0,7261,1/1/2003,MO,RENEWAL,64050
66,8567,AC,Active Status,819  W WALDO AVE,Schools-Elementary/Secondary,CENTER PLACE RESTORATION SCHOOL,INDEPENDENCE,1,2012-11-19,10/31/2016,0-10,NO,39.096076965332,-94.4259796142578,0,8211,10/11/1991,MO,RENEWAL,640500000
68,52630,AC,Active Status,201  S MAIN ST,Title Services,CHICAGO TITLE INSURANCE CO.,INDEPENDENCE,1,2013-01-17,1/31/2017,0-10,NO,39.0908355712891,-94.4153594970703,0,6361,1/28/2002,MO,RENEWAL,64050
69,1659,AC,Active Status,405  E US 24 HWY,Grocery Store,CHRISMAN PLAZA CASH SAVER,INDEPENDENCE,1,2012-04-19,4/30/2017,0-10,NO,39.1002922058105,-94.4086303710938,0,5411A,10/13/1986,MO,RENEWAL,64050
70,24135,AC,Active Status,701  N NOLAND RD,Restaurant,CHURCH'S CHICKEN,INDEPENDENCE,1,2013-02-12,2/28/2017,0-10,NO,39.0976791381836,-94.412727355957,0,5812,2/1/1993,MO,RENEWAL,64050
71,37732,AC,Active Status,10610  E 23RD ST S,Restaurant,CHURCH'S CHICKEN,INDEPENDENCE,1,2013-03-18,1/31/2017,0-10,NO,39.0809669494629,-94.4528579711914,0,5812,1/1/1998,MO,RENEWAL,64052
72,30135,AC,Active Status,431  N GRAND AVE,Hauling/Light General-No Route,CLARKS,INDEPENDENCE,1,2012-12-27,1/31/2017,0-10,YES,39.0962600708008,-94.4290771484375,0,4212D,1/4/1995,MO,RENEWAL,64050
73,3058,AC,Active Status,2209  N LIBERTY ST,Residential Construction,CLASSIC POOL CONSTRUCTION CO,INDEPENDENCE,1,2012-04-19,4/30/2017,0-10,YES,39.1186904907227,-94.4156951904297,0,1521,2/13/1979,MO,RENEWAL,640500000
74,83673,AC,Active Status,9534  E WINNER RD,Auto Body Shop & Used Auto Sales,CLASSY CARS,INDEPENDENCE,1,2012-05-02,5/31/2017,0-10,NO,39.0967330932617,-94.4647445678711,0,7531E,7/1/2011,MO,RENEWAL,64052
75,50081,AC,Active Status,100  W MAPLE AVE,Ice Cream/Yogurt Snack Shop,CLINTONS SODA FOUNTAIN,INDEPENDENCE,1,2012-05-07,5/31/2017,0-10,NO,39.0929756164551,-94.4158172607422,0,5812B,5/26/2001,MO,RENEWAL,64050
76,2842,AC,Active Status,312  S MAIN ST,Industrial Machinery/Equip Serv-Whsl,CODY SALES & ENGINEERING INC,INDEPENDENCE,1,2012-04-10,4/30/2017,0-10,NO,39.0893783569336,-94.4162445068359,0,5084,7/8/1986,MO,RENEWAL,64050
79,89417,AC,Active Status,151  E LEXINGTON AVE,Bail Bonds-Commercial/Out of City Locatn,COLEMAN KEYS BONDING-D SAVAGE,INDEPENDENCE,1,2013-02-11,2/28/2017,0-10,NO,39.0917472839355,-94.4135208129883,0,7389H,2/23/2001,MO,RENEWAL,64050
82,1835,AC,Active Status,336  S KENTUCKY AVE,Commercial Constr/Tenant Finish,COLLINS ROOFING,INDEPENDENCE,1,2012-04-17,4/30/2017,0-10,YES,39.1077842712402,-94.4744873046875,5,1542,11/23/1981,MO,RENEWAL,64053
83,83068,AC,Active Status,404  N NOLAND RD,Used Merchandise Sales,COMMUNITY SERVICES LEAGUE,INDEPENDENCE,1,2013-01-03,1/31/2017,26-50,NO,39.094913482666,-94.4133911132813,32,5932,1/9/1992,MO,RENEWAL,64050
84,29597,AC,Active Status,9520  E TRUMAN RD,Auto Repair-Light,COMPETITION HEAD SERVICE,INDEPENDENCE,1,2012-12-29,12/31/2016,0-10,NO,39.0959320068359,-94.4648590087891,1,7538,12/1/1994,MO,RENEWAL,64052
85,4700,AC,Active Status,416  E COLLEGE ST,Boarding Center,COMPREHENSIVE MENTAL HEALTH SERVICE,INDEPENDENCE,1,2012-04-10,4/30/2017,0-10,YES,39.0983276367188,-94.4093780517578,8,7021A,9/15/1980,MO,RENEWAL,64050
86,28818,AC,Active Status,177  W US 24 HWY,Hair/Nail Salon (Business Owner),CONNIE STYLISTIC,INDEPENDENCE,1,2012-09-27,9/30/2016,0-10,NO,39.1010856628418,-94.4162826538086,0,7231,9/12/1994,MO,RENEWAL,64050
88,43349,AC,Active Status,113  W LEXINGTON AVE,Restaurant/Bar,COURTHOUSE RESTAURANT,INDEPENDENCE,1,2012-12-21,12/31/2016,0-10,NO,39.091854095459,-94.4164123535156,0,5812H,12/22/1999,MO,RENEWAL,64050
92,881,AC,Active Status,10101  E TRUMAN RD,Grocery Store,CURT'S MARKET,INDEPENDENCE,1,2012-05-01,4/30/2017,0-10,NO,39.0950317382813,-94.4581909179688,0,5411A,6/29/1990,MO,RENEWAL,64052
93,71980,AC,Active Status,556  S ARLINGTON AVE,Communication/Telephone/Cellular Service,CMD TELECOMMUNICATIONS,INDEPENDENCE,1,2012-10-05,9/30/2016,0-10,YES,39.1046104431152,-94.464111328125,0,4812,9/21/2001,MO,RENEWAL,64053
94,41261,AC,Active Status,721  W JONES ST,Crisis Center/Social Services,COMPREHENSIVE MENTAL HEALTH SERVICE,INDEPENDENCE,1,2012-04-10,4/30/2017,11-25,NO,39.0952644348145,-94.4205551147461,14,8322B,5/19/1999,MO,RENEWAL,64050
95,82212,AC,Active Status,503  W LEXINGTON AVE,Library/Archives,CSKW,INDEPENDENCE,1,2012-11-07,11/19/2016,0-10,NO,39.0920753479004,-94.4218444824219,0,8231,1/3/2011,MO,RENEWAL,64050
97,68956,AC,Active Status,1020  N WILLIS AVE,Storage/Warehousing,D & D AUTOMOTIVE,INDEPENDENCE,1,2013-03-01,2/28/2017,0-10,NO,39.1027984619141,-94.4298400878906,0,4225,2/9/2007,MO,RENEWAL,64054
98,8076,AC,Active Status,1000  N WILLIS AVE  #A,Auto Repair-Light,D & D GARAGE,INDEPENDENCE,1,2012-05-01,4/30/2017,0-10,NO,39.1023254394531,-94.4298706054688,0,7538,9/10/1990,MO,RENEWAL,64050
99,33774,AC,Active Status,605  N HIGH ST,Computer Sales/Leasing/Service,"DATA CONSULTANTS, INC.",INDEPENDENCE,1,2012-06-22,6/30/2017,0-10,NO,39.096736907959,-94.4118041992188,0,5734,6/1/1996,MO,RENEWAL,64050
100,5240,AC,Active Status,214  W MAPLE AVE,Bakery Products-Retail,DAVE'S BAKERY & DELI,INDEPENDENCE,1,2012-04-23,4/30/2017,0-10,NO,39.0931205749512,-94.4181976318359,0,5461,8/16/1985,MO,RENEWAL,64050
102,11387,AC,Active Status,11606  E TRUMAN RD,Pet Services &/Or Products,DEANNA'S DOGGIE BOUTIQUE,INDEPENDENCE,1,2012-04-27,4/30/2017,0-10,NO,39.0948143005371,-94.4379196166992,0,0752,5/1/1988,MO,RENEWAL,64050
103,68425,AC,Active Status,202  N LIBERTY ST,Upholstery/Furniture Repair,DESIGNERS AVENUE UPHOLSTERY,INDEPENDENCE,1,2012-12-10,12/31/2016,0-10,NO,39.093090057373,-94.4172897338867,0,7641,12/20/2006,MO,RENEWAL,64050
104,53500,AC,Active Status,120  W WALNUT ST,Adult Day Care Center,"DEVELOPING POTENTIAL, INC.",INDEPENDENCE,1,2012-05-29,5/31/2017,0-10,NO,39.090274810791,-94.4161834716797,0,8322G,5/9/2002,MO,RENEWAL,64050
105,83868,AC,Active Status,1000  S NOLAND RD,Entertainment/Rec Serv/Promoter/Planner,DIAMOND GIRLS BARTENDERS,INDEPENDENCE,1,2012-06-04,6/30/2017,0-10,YES,39.0812797546387,-94.4143371582031,0,7929C,6/1/2011,MO,RENEWAL,64050
106,6241,AC,Active Status,110  S HAWTHORNE AVE,Electrical Contractor,DILLON ENGINEERING,INDEPENDENCE,1,2012-09-07,9/30/2016,0-10,YES,39.1096229553223,-94.460319519043,0,1731,5/1/1987,MO,RENEWAL,64053
107,68271,AC,Active Status,111  N MAIN ST,Antique/Collectible Sales,DO-SAL'S COLLECTIBLE TREASURES,INDEPENDENCE,1,2012-09-14,9/30/2016,0-10,NO,39.092586517334,-94.4152755737305,0,5932F,9/1/2006,MO,RENEWAL,64050
108,76589,AC,Active Status,216  W US 24 HWY,Motorcycle-New & Used Sales/Parts/Repair,DODGE CITY MOTORSPORTS,INDEPENDENCE,1,2012-04-03,3/31/2017,0-10,NO,39.1017684936523,-94.417724609375,1,5571,3/30/2009,MO,RENEWAL,64050
109,76595,AC,Active Status,214  W US 24 HWY,Auto Repair-Light,DODGE CITY MOTORSPORTS,INDEPENDENCE,1,2012-04-03,3/31/2017,0-10,NO,39.1017684936523,-94.417724609375,1,7538,3/30/2009,MO,RENEWAL,64050
110,2066,AC,Active Status,1014  W US 24 HWY,General Merchandise Retail,DOLLAR GENERAL STORE #1216,INDEPENDENCE,1,2012-05-07,4/30/2017,0-10,NO,39.1024932861328,-94.4281158447266,0,5399,11/17/1983,MO,RENEWAL,64050
112,86823,AC,Active Status,10338  E TRUMAN RD,Convenience Store,"DON LUCHO MINI MARKET,LLC 2",INDEPENDENCE,1,2012-12-21,1/13/2017,0-10,NO,39.0954933166504,-94.4547882080078,0,5411,2/1/2011,MO,RENEWAL,64052
113,68162,AC,Active Status,918  N DODGION AVE,Internet Sales/Purchasing/Leasing,DONERIGHT AUTOSOUND,INDEPENDENCE,1,2012-11-30,11/7/2016,0-10,YES,39.1005325317383,-94.4119186401367,1,7371G,2/1/2003,MO,RENEWAL,64050
116,43725,AC,Active Status,733  S NORTHERN BLVD,Beer/Wine Making Supplies,E C KRAUS HOME WINE & BEER MAKING,INDEPENDENCE,1,2013-01-30,1/31/2017,0-10,NO,39.0998687744141,-94.451042175293,0,5999O,1/3/2000,MO,RENEWAL,64053
117,59039,AC,Active Status,11401  E TRUMAN RD,Heating &/Or Cooling Contractor,E R MANN SERVICES,INDEPENDENCE,1,2012-11-13,11/30/2016,0-10,NO,39.0942993164063,-94.4409103393555,0,1711,11/1/2003,MO,RENEWAL,64050
118,7724,AC,Active Status,226  W MAPLE AVE,Stock/Security/Commodities Broker,EDWARD D JONES & CO #06496,INDEPENDENCE,1,2012-04-09,4/30/2017,0-10,NO,39.0931205749512,-94.4181976318359,0,6211,5/1/1989,MO,RENEWAL,64050
120,40966,AC,Active Status,1208  S HARVARD AVE,Auto Repair/Restoration/Sales,ENGELMAN ENGINEERING,INDEPENDENCE,1,2013-03-05,1/31/2017,0-10,NO,39.0943717956543,-94.4471817016602,0,7538EC,1/1/1999,MO,RENEWAL,64052
121,65693,AC,Active Status,10904  E WINNER RD,Food Sales-Carry Out/Delivery,ENGLEWOOD CAFE,INDEPENDENCE,1,2013-02-27,2/28/2017,0-10,NO,39.0882453918457,-94.4491424560547,0,5812E,3/1/2006,MO,RENEWAL,64052
122,81759,AC,Active Status,10917  E WINNER RD,Theater,ENGLEWOOD THEATER,INDEPENDENCE,1,2012-12-07,12/31/2016,0-10,NO,39.0873489379883,-94.4486999511719,0,7832,12/1/2010,MO,RENEWAL,64052
123,85027,AC,Active Status,1212  W RUBY AVE   B,Environmental-Consultant/Contractor,ERA ENVIRONMENTAL & SAFETY,INDEPENDENCE,1,2012-10-02,10/25/2016,0-10,NO,39.0866165161133,-94.4303817749023,1,8748B,5/15/1991,MO,RENEWAL,64052
124,84671,AC,Active Status,201  N FOREST AVE,Catering Service/Rentals,EVANS CATERING,INDEPENDENCE,1,2012-10-26,9/8/2016,0-10,NO,39.0934677124023,-94.4354095458984,0,5812BA,4/10/2011,MO,RENEWAL,64050
125,1634,AC,Active Status,911  N LYNN ST,Mail Order/Catalog Sls/Pre Ordered Items,"EDO INDUSTRIES, INC",INDEPENDENCE,1,2012-04-16,4/30/2017,0-10,YES,39.1005020141602,-94.4136352539063,0,5961,8/25/1986,MO,RENEWAL,64050
126,86097,AC,Active Status,11010  E WINNER RD  DWNST SHOP,Beauty/Skin Services &/or Retail,ESTETICA UNISEX LINDA,INDEPENDENCE,1,2013-03-06,2/28/2017,0-10,NO,39.0879859924316,-94.4479064941406,0,5999DA,3/15/2012,MO,RENEWAL,64052
127,30171,AC,Active Status,1112   DICKINSON RD  #B,Small Engine Repair,FAIRFIELD MOTOR SPORTS,INDEPENDENCE,1,2012-04-09,4/30/2017,0-10,NO,39.1025695800781,-94.4044876098633,1,7699E,4/1/1995,MO,RENEWAL,64050
128,21685,AC,Active Status,10609  E US 24 HWY,Liquor Sales/Original Package,FAIRMOUNT LIQUORS,INDEPENDENCE,1,2012-09-28,9/30/2016,0-10,NO,39.1023101806641,-94.4515762329102,0,5921,9/23/1992,MO,RENEWAL,64053
129,38993,AC,Active Status,10817  E US 24 HWY,Mobile Home Park,FAIRMOUNT MOBILE HOME PARK,INDEPENDENCE,1,2013-01-11,1/31/2017,0-10,NO,39.1015548706055,-94.4498138427734,0,6515,1/10/1998,MO,RENEWAL,64053
130,8479,AC,Active Status,11714  E 23RD ST S,General Merchandise Retail,FAMILY DOLLAR STORES #21942,INDEPENDENCE,1,2013-01-29,12/31/2016,0-10,NO,39.0805549621582,-94.4381332397461,0,5399,8/12/1991,MO,RENEWAL,64052
