PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,FISCAL_YEAR,OBJECTID
PO537893-V2,OFFICE OF CHIEF FINANCIAL OFFICER,9157100:Newspaper and Publication Advertising,2429.7,2016-10-06T00:00:00.000Z,THE WASHINGTON POST,2017,307308
PO550607,OFFICE OF CHIEF FINANCIAL OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",7775,2016-10-03T00:00:00.000Z,Avanti Real Estate Services,2017,307309
PO555664,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CATERING SERVICES,175,2016-12-02T00:00:00.000Z,GREAT AMERICAN CORP,2017,307310
PO550690-V2,DEPARTMENT OF BEHAVIORAL HEALTH,"2083744:SOFTWARE, MICROCOMPUTER, DATABASE, IBM COMPATIBLE, LASTEST RELEASED VERSION",1107.96,2016-10-31T00:00:00.000Z,"Netsmart New York, Inc.",2017,307311
PO555250,DEPARTMENT OF CORRECTIONS,"9204577:SUPPORT AND UPDATE SERVICES, MICROCOMPUTER SOFTWARE",64.46,2016-11-28T00:00:00.000Z,"TimeKeeping Systems, Inc.",2017,307312
PO553788,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",325,2016-11-04T00:00:00.000Z,Art Enables,2017,307313
PO555203,DEPARTMENT OF GENERAL SERVICES,"PAVING/RESURFACING, ALLEY AND PARKING LOTS",8047,2016-11-28T00:00:00.000Z,HR GENERAL MAINTENANCE CORP,2017,307314
PO549781-V2,DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),19487,2016-12-20T00:00:00.000Z,METRO DC GLBT COMM CTR,2017,307315
PO555530,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",1030,2016-12-01T00:00:00.000Z,Dell Computer Corp.,2017,307316
PO554381,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,500,2016-12-05T00:00:00.000Z,LATIN AMERICAN YOUTH CENTER,2017,307317
PO554543,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,500,2016-11-16T00:00:00.000Z,Opportunities Industrial Center,2017,307318
PO550848,DEPARTMENT OF BEHAVIORAL HEALTH,Contractor Compliance Monitoring Services,48000,2016-10-04T00:00:00.000Z,DR CARLOS A ASTRADA,2017,307319
PO553701-V2,OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,1014,2016-12-20T00:00:00.000Z,NEAL R GROSS & CO INC,2017,307320
PO551984,OFFICE OF THE D.C. AUDITOR,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",8105,2016-10-26T00:00:00.000Z,Wolters Kluwer Financial Serv,2017,307321
PO556940,DEPARTMENT OF FOR-HIRE VEHICLES,"Professional Services, Subcontractor and Contractor >25000",1590.08,2016-12-23T00:00:00.000Z,MIDTOWN PERSONNEL INC,2017,307322
PO551707-V3,DC NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",1500,2016-10-27T00:00:00.000Z,AMERICAN PUBLIC UNIVERSITY SYS,2017,307323
PO531421-V3,OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,0,2016-10-12T00:00:00.000Z,"OLENDER REPORTING, INC.",2017,307324
PO544700-V2,OFFICE OF CHIEF FINANCIAL OFFICER,9314500:Furniture Installation and Reconfiguration Services (Including Systems Furniture),334253.83,2016-10-25T00:00:00.000Z,MARYLAND OFFICE INTERIORS,2017,307325
PO535350-V4,DC PUBLIC LIBRARY,"9092200:Building Construction, Non-Residential (Office Bldg., etc.)",10591.08,2016-12-12T00:00:00.000Z,COAKLEY & WILLIAMS CONST.,2017,307326
PO555284,DEPARTMENT OF CORRECTIONS,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",52.82,2016-11-29T00:00:00.000Z,"BI2 Technologies, LLC",2017,307327
PO551917,DEPARTMENT OF HEALTH,"Professional Services, Subcontractor and Contractor >25000",35652.96,2016-10-19T00:00:00.000Z,Synergetic Information Systems,2017,307328
PO554480,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",33.98,2016-11-15T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,307329
PO556796,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FREIGHT SERVICES,15,2016-12-21T00:00:00.000Z,"SCHAEFER-FRIEDMAN, LLC",2017,307330
PO552569,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATIONAL TRAINING CONSULTANT SERVICES,750,2016-10-26T00:00:00.000Z,MORIAH CHILDERS,2017,307331
PO554871,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,5500,2016-11-18T00:00:00.000Z,"SELECTRON TECHNOLOGIES, INC",2017,307332
PO556462,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,145000,2016-12-15T00:00:00.000Z,"Global Kids, Inc.",2017,307333
PO552305,DEPARTMENT OF BEHAVIORAL HEALTH,MAINTENANCE AND INSPECTION OF INTEGRATED FIRE ALARM AND ACCESS CONTROL/SECURITY SYSTEMS,4600,2016-10-24T00:00:00.000Z,EMERGENCY 911 SECURITY,2017,307334
PO550265,DEPARTMENT OF BEHAVIORAL HEALTH,1101800:Conveyor and Elevator: Canvas and Duck,1800,2016-10-03T00:00:00.000Z,CENTURY ELEVATOR INC.,2017,307335
PO535350-V4,DC PUBLIC LIBRARY,"9092200:Building Construction, Non-Residential (Office Bldg., etc.)",6708313.07,2016-12-12T00:00:00.000Z,COAKLEY & WILLIAMS CONST.,2017,307336
PO557151,DEPARTMENT OF TRANSPORTATION,"9617252:TRANSCRIPTION SERVICES, MEDICAL, PROFESSIONAL",15500,2016-12-30T00:00:00.000Z,NEAL R GROSS & CO INC,2017,307337
PO552395,DEPARTMENT OF TRANSPORTATION,Asset Management Services,7500000,2016-10-25T00:00:00.000Z,"Xerox State & Local Solutions, Inc.",2017,307338
PO553572,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9240500:Advisory Services, Educational",6600,2016-11-03T00:00:00.000Z,PATTY COPELAND,2017,307339
PO552258,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Intergovernmental and Inter-Agency Contracts,6000,2016-10-21T00:00:00.000Z,TECHBRIDGE,2017,307340
PO554803,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Janitorial Management Services,450,2016-11-18T00:00:00.000Z,General Merchandise Supplies,2017,307341
PO551835,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9241800:Educational Services, Alternative",11700,2016-10-18T00:00:00.000Z,NTNL COUNCL OF ARCTCTAL REGSTR,2017,307342
PO553356,DEPARTMENT OF PARKS AND RECREATION,Professional Services w/receipts (not 1099),4800,2016-11-01T00:00:00.000Z,DONNA STURM,2017,307343
PO553255,DEPARTMENT OF CORRECTIONS,"9204577:SUPPORT AND UPDATE SERVICES, MICROCOMPUTER SOFTWARE",22925,2016-11-01T00:00:00.000Z,"DATA MANAGEMENT, INC.",2017,307344
PO556319,OFFICE OF CHIEF TECHNOLOGY OFFICER,"2851065:RACKS, CABLE",3588,2016-12-13T00:00:00.000Z,THE PRESIDIO CORPORATION,2017,307345
PO556761,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CATERING SERVICES,59,2016-12-21T00:00:00.000Z,GREAT AMERICAN CORP,2017,307346
PO534213-V3,OFFICE OF CHIEF FINANCIAL OFFICER,9155878:MAIL PICKUP AND DELIVERY SERVICES FROM AND TO A UNITED STATES POST OFFICE,3734.52,2016-10-21T00:00:00.000Z,FEDERAL EXPRESS,2017,307347
PO555411,DEPARTMENT OF TRANSPORTATION,"9184210:CONSULTING SERVICES, CIVIL ENGINEER",658414.48,2016-11-30T00:00:00.000Z,Kumi Const. Management Corp.,2017,307348
PO556643,DEPARTMENT OF HEALTH CARE FINANCE,AUDITING SERVICES,86400,2016-12-19T00:00:00.000Z,BERT SMITH & COMPANY,2017,307349
PO550995-V2,OFFICE OF UNIFIED COMMUNICATIONS,TELECOMMUNICATIONS CONSULTING,127848.6,2016-10-17T00:00:00.000Z,"THE TRIAGE GROUP, LLC",2017,307350
PO553844,DEPARTMENT OF HEALTH,"9982900:Computers, Parts and Supplies",122.45,2016-11-04T00:00:00.000Z,Dell Computer Corp.,2017,307351
PO552628,OFFICE OF CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,6741.36,2016-10-26T00:00:00.000Z,"Networking For Future, Inc.",2017,307352
PO556281,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",5561.09,2016-12-13T00:00:00.000Z,MYTHICS INC.,2017,307353
PO554015,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",5131.97,2016-11-08T00:00:00.000Z,DLT SOLUTIONS INC,2017,307354
PO555787,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8309500:Recycled Tanks, Accessories and Supplies",347.96,2016-12-05T00:00:00.000Z,B & H FOTO & ELECTORNICS CORP,2017,307355
PO554309,DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,1853135,2016-11-10T00:00:00.000Z,Square 769N Affordable LP,2017,307356
PO552503-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,178240.8,2016-11-29T00:00:00.000Z,ADVANCED NETWORK CONSULTING,2017,307357
PO556569,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",12666.32,2016-12-16T00:00:00.000Z,DLT SOLUTIONS INC,2017,307358
PO554852,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"TRAINING, SOFTWARE INSTRUCTOR",5200,2016-11-18T00:00:00.000Z,GREAT MINDS,2017,307359
PO553211,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851062:BRUSHES, PARTS CLEANING",27.5,2016-10-31T00:00:00.000Z,General Merchandise Supplies,2017,307360
PO549889,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2093852:SOFTWARE, MAINFRAME, DATABASE, LATEST VERSION OR RELEASE LISTED",3570,2016-10-03T00:00:00.000Z,"EDUCATIONAL NETWORKS, INC.",2017,307361
PO554848,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9628700:Travel, Local (Provided by Third Party)",450,2016-11-18T00:00:00.000Z,DARREN WATSON,2017,307362
PO554804,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"OFFICE SUPPLIES, GENERAL (NOT OTHERWISE CLASSIFIED)",10.47,2016-11-18T00:00:00.000Z,LASER ART INC,2017,307363
PO550795,DEPARTMENT OF EMPLOYMENT SERVICES,9520738:DRUG AND ALCOHOL SCREENING TESTS,69000,2016-10-04T00:00:00.000Z,B & W STAT LABORATORY,2017,307364
PO554737-V2,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,0,2016-12-02T00:00:00.000Z,Evergreen Information Technology,2017,307365
PO553921,HOMELAND SECURITY/EMERGENCY MANAGEMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,19600,2016-11-07T00:00:00.000Z,Babel Street Inc.,2017,307366
PO554647,DEPARTMENT OF FOR-HIRE VEHICLES,"LABOR, MISCELLANEOUS",37684.2,2016-11-16T00:00:00.000Z,TELECOMMUNICATIONS DEV CORP,2017,307367
PO553255,DEPARTMENT OF CORRECTIONS,"9204577:SUPPORT AND UPDATE SERVICES, MICROCOMPUTER SOFTWARE",9000,2016-11-01T00:00:00.000Z,"DATA MANAGEMENT, INC.",2017,307368
PO556822,DEPARTMENT OF FORENSICS SCIENCES,"MAINTENANCE AND REPAIR, HOSPITAL AND MEDICAL EQUIPMENT, GENERAL",26279.9,2016-12-21T00:00:00.000Z,STERIS CORPORATION,2017,307369
PO554301,DEPT. OF HOUSING AND COMM. DEVELOPMENT,TAINLESS STEEL CHAIN,13832.5,2016-11-10T00:00:00.000Z,Four Seasons Home Improvement,2017,307370
PO550992-V2,OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,0,2016-12-14T00:00:00.000Z,NEAL R GROSS & CO INC,2017,307371
PO550309,DEPARTMENT OF PARKS AND RECREATION,Professional Services w/receipts (not 1099),13220,2016-10-03T00:00:00.000Z,Shelley DeLon,2017,307372
PO552649-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,26749.8,2016-12-06T00:00:00.000Z,"AVID SYSTEMS, LLC",2017,307373
PO556164,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",14054,2016-12-09T00:00:00.000Z,SOFTWARE DIVERSIFIED SRVCS,2017,307374
PO555054,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,6201060:24 IN. STAINLESS STEEL CHAIN,5500,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,307375
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",83.43,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,307376
PO555722,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,1302.28,2016-12-02T00:00:00.000Z,"HAL-HEN CO., INC.",2017,307377
